channelTitle,channelId,videoId,publishedAt,title,description,tags,viewCount,likeCount,commentCount,favoriteCount
Bandai Namco Entertainment America,UC_ntXHv-XdKCD7CPynVvnQw,rDxrpSqYHD8,2023-11-01 16:09:18+00:00,TEKKEN 8 â€“ THE RETURN OF LEGENDS - NEW CHARACTERS REVEAL TRAILER,"Five legends return in #TEKKEN8 for the next King of Iron Fist tournament!

And we're not done yet. ðŸ‘Š http://tekken.com

Take a look at the latest fighters newly confirmed as playable in Tekken 8: Devil Jin, Zafina, Alisa Bosconovich, and Lee Chaolan (with a bonus appearance by Panda). The final characters will be revealed on November 2 and then November 12.","['Bandai Namco', 'Bandai Namco Entertainment', 'Video', 'Games', 'video games', 'namco bandai', 'United States', 'PS5', 'PS4', 'Xbox Series X']",913582,25048,2770,0
Bandai Namco Entertainment America,UC_ntXHv-XdKCD7CPynVvnQw,cIDK50IaVpg,2023-11-02 13:22:49+00:00,TEKKEN 8 â€“ Victor Chevalier Reveal & Gameplay Trailer,"With him, violence is Ã  la carte.
Victor Chevalier, voiced by Vincent Cassel, slices his way into the #TEKKEN8 roster!

Pre-order TEKKEN 8 ðŸ‘‰ https://bnent.eu/Preorder-TEKKEN8
Join the official TEKKEN server ðŸ‘‰ https://bnent.eu/TekkenDiscord

Follow Bandai Namco Entertainment: 
Instagram: https://www.instagram.com/bandainamcous
Facebook: https://www.facebook.com/BandaiNamcoUS
Twitter: https://twitter.com/BandaiNamcoUS
Twitch: http://www.twitch.tv/bandainamcous","['Bandai Namco', 'Bandai Namco Entertainment', 'Video', 'Games', 'video games', 'namco bandai', 'United States', 'PS5', 'PS4', 'Xbox Series X']",1500485,44648,7409,0
Bandai Namco Entertainment America,UC_ntXHv-XdKCD7CPynVvnQw,PsCpewoF2E4,2023-11-13 05:03:26+00:00,TEKKEN 8 â€” Reina Reveal & Gameplay Trailer,"It's time for them to learn their place.
Reina storms the King of Iron Fist Tournament in #TEKKEN8

Pre-order TEKKEN 8 ðŸ‘‰  https://bnent.eu/Preorder-TEKKEN8
Join the official TEKKEN server ðŸ‘‰  https://bnent.eu/TekkenDiscord

Follow Tekken:
Instagram: https://www.instagram.com/tekken
Twitter: https://twitter.com/Twitter
Facebook: https://www.facebook.com/TekkenAmericas

Follow Bandai Namco Entertainment: 
Instagram: https://www.instagram.com/bandainamcous
Facebook: https://www.facebook.com/BandaiNamcoUS
Twitter: https://twitter.com/BandaiNamcoUS
Twitch: http://www.twitch.tv/bandainamcous","['Bandai Namco', 'Bandai Namco Entertainment', 'Video', 'Games', 'video games', 'namco bandai', 'United States', 'PS5', 'PS4', 'Xbox Series X']",2281239,62780,7859,0
Bandai Namco Entertainment America,UC_ntXHv-XdKCD7CPynVvnQw,QH6s_o3dIic,2023-11-22 14:00:30+00:00,TEKKEN 8 â€” Leo Reveal & Gameplay Trailer,"It's time to punch the truth out of them. Leo makes a smashing return to #TEKKEN8! 
Pre-order TEKKEN 8 ðŸ‘‰ https://tekken.com/purchase

Follow Tekken:
Instagram: https://www.instagram.com/tekken
Twitter: https://twitter.com/Twitter
Facebook: https://www.facebook.com/TekkenAmericas
Join the official TEKKEN server ðŸ‘‰ https://bnent.eu/TekkenDiscord","['Bandai Namco', 'Bandai Namco Entertainment', 'Video', 'Games', 'video games', 'namco bandai', 'United States', 'PS5', 'PS4', 'Xbox Series X']",901847,33648,5134,0
Bandai Namco Entertainment America,UC_ntXHv-XdKCD7CPynVvnQw,Zc-yMi05vBA,2023-11-29 14:00:33+00:00,TEKKEN 8 â€“ Steve Fox Reveal & Gameplay Trailer,"Time to knock out the competitionðŸ¥Š
Steve will beat everyone to the punch in #TEKKEN8!

Follow Bandai Namco Entertainment: 
Instagram: https://www.instagram.com/bandainamcous
Facebook: https://www.facebook.com/BandaiNamcoUS
Twitter: https://twitter.com/BandaiNamcoUS
Twitch: http://www.twitch.tv/bandainamcous","['Bandai Namco', 'Bandai Namco Entertainment', 'Video', 'Games', 'video games', 'namco bandai', 'United States', 'PS5', 'PS4', 'Xbox Series X']",1022234,38924,4320,0
Bandai Namco Entertainment America,UC_ntXHv-XdKCD7CPynVvnQw,ucesGynb2Yk,2023-12-06 14:25:50+00:00,TEKKEN 8 â€” Dragunov Reveal & Gameplay Trailer,"Heâ€™d like to have a word with you.
Dragunov will make your blood turn cold in #TEKKEN8!

Pre-order TEKKEN 8 ðŸ‘‰  https://bnent.eu/Preorder-TEKKEN8
Join the official TEKKEN server ðŸ‘‰  https://bnent.eu/TekkenDiscord

Follow Tekken:
Instagram: https://www.instagram.com/tekken
Twitter: https://twitter.com/TEKKEN
Facebook: https://www.facebook.com/TekkenAmericas

Follow Bandai Namco Entertainment: 
Instagram: https://www.instagram.com/bandainamcous
Facebook: https://www.facebook.com/BandaiNamcoUS
Twitter: https://twitter.com/BandaiNamcoUS
Twitch: http://www.twitch.tv/bandainamcous","['Bandai Namco', 'Bandai Namco Entertainment', 'Video', 'Games', 'video games', 'namco bandai', 'United States', 'PS5', 'PS4', 'Xbox Series X']",983930,39261,3348,0
Bandai Namco Entertainment America,UC_ntXHv-XdKCD7CPynVvnQw,y8JGUIF2pu4,2023-12-13 14:00:47+00:00,TEKKEN 8 â€” Yoshimitsu Reveal & Gameplay Trailer,"Mechanized space ninjas have no need for introductions.
Yoshimitsu is ready to slice and dice the competition in #TEKKEN8!","['Bandai Namco', 'Bandai Namco Entertainment', 'Video', 'Games', 'video games', 'namco bandai', 'United States', 'PS5', 'PS4', 'Xbox Series X']",1822105,62865,5023,0
Bandai Namco Entertainment America,UC_ntXHv-XdKCD7CPynVvnQw,9D5vq-zq9y4,2023-12-14 14:00:08+00:00,TEKKEN 8 â€“ Exclusive Story Demo Showcase,"Join WWE Superstar Xavier Woods a.k.a. Austin Creed as he hosts an exclusive first-look at the Tekken 8 Story Trailer and gets his hands on the demo, which is now available to the public!
Pre-order #TEKKEN8 ðŸ‘‰ https://tekken.com/purchase

Follow Tekken:
Instagram: https://www.instagram.com/tekken/
Twitter: https://twitter.com/tekken
Facebook: https://www.facebook.com/TekkenAmericas
Join the official TEKKEN server ðŸ‘‰ https://bnent.eu/TekkenDiscord","['Bandai Namco', 'Bandai Namco Entertainment', 'Video', 'Games', 'video games', 'namco bandai', 'United States', 'PS5', 'PS4', 'Xbox Series X']",70385,2888,362,0
Bandai Namco Entertainment America,UC_ntXHv-XdKCD7CPynVvnQw,ToKJfywbe1o,2023-12-14 14:10:00+00:00,TEKKEN 8 â€“ Official Story Trailer,"Witness true power. Experience the Mishima saga and fight fate in the TEKKEN 8 demo.

Pre-order #TEKKEN8 today: https://tekken.com/purchase","['Bandai Namco', 'Bandai Namco Entertainment', 'Video', 'Games', 'video games', 'namco bandai', 'United States', 'PS5', 'PS4', 'Xbox Series X']",2031347,48283,4245,0
Bandai Namco Entertainment America,UC_ntXHv-XdKCD7CPynVvnQw,9jJiNa4HoD0,2023-12-19 14:00:08+00:00,TEKKEN 8 â€“ Ultimate Edition Trailer,"Ultimate style. Experience everything TEKKEN 8 has to offer, including 32 Gold Suit costumes, exclusive skins and t-shirt designs for your avatar, and the Playable Character Year 1 pass!
Pre-order today: https://tekken.com/ultimate-edition","['Bandai Namco', 'Bandai Namco Entertainment', 'Video', 'Games', 'video games', 'namco bandai', 'United States', 'PS5', 'PS4', 'Xbox Series X']",466097,10479,1217,0
Bandai Namco Entertainment America,UC_ntXHv-XdKCD7CPynVvnQw,UgnPG2bScVQ,2023-12-20 14:00:19+00:00,TEKKEN 8 â€“ Shaheen Reveal & Gameplay Trailer,"The Desert Falcon is ready to ruffle some feathers.
Shaheen seeks revenge in #TEKKEN8!

Pre-order TEKKEN 8 ðŸ‘‰  https://bnent.eu/Preorder-TEKKEN8
Join the official TEKKEN server ðŸ‘‰  https://bnent.eu/TekkenDiscord

Follow Tekken:
Instagram: https://www.instagram.com/tekken
Twitter: https://twitter.com/Twitter
Facebook: https://www.facebook.com/TekkenAmericas

Follow Bandai Namco Entertainment: 
Instagram: https://www.instagram.com/bandainamcous
Facebook: https://www.facebook.com/BandaiNamcoUS
Twitter: https://twitter.com/BandaiNamcoUS
Twitch: http://www.twitch.tv/bandainamcous","['Bandai Namco', 'Bandai Namco Entertainment', 'Video', 'Games', 'video games', 'namco bandai', 'United States', 'PS5', 'PS4', 'Xbox Series X']",671906,25567,3789,0
